module	address	old_name	new_name	kind	basis	rom_rtti	danger_old_still_live_on_main	port_at_address	main_at_address	n_files	port_files
ov098	0x02138008	ArrowSignLeft_Spawn	daObjYajirusi_c_classInit_YAJIRUSI_L	plain	one main-only spelling of the same kind	-	-	ArrowSignLeft_Spawn	daObjYajirusi_c_classInit_YAJIRUSI_L	3	port/hal/actor_classes.inc;port/slice_gate19.txt;port/slice_gate33.txt
ov098	0x02139070	func_ov098_02139070	_ZN5Crate4KillEv	func	the one main-only spelling at the address	-	-	func_ov098_02139070	_ZN5Crate4KillEv	2	port/hal/actor_classes_hmc.cpp;port/slice_gate172.txt
ov098	0x02139e44	func_ov098_02139e44	_ZN5Crate15OnGroundPoundedER8dActor_c	func	the one main-only spelling at the address	-	-	func_ov098_02139e44	_ZN5Crate15OnGroundPoundedER8dActor_c	3	port/hal/actor_classes_hmc.cpp;port/slice_gate172.txt;port/tools/abicheck.py
ov098	0x02139e64	func_ov098_02139e64	_ZN5Crate13OnYoshiTryEatEv	func	the one main-only spelling at the address	-	-	func_ov098_02139e64	_ZN5Crate13OnYoshiTryEatEv	2	port/hal/actor_classes_hmc.cpp;port/slice_gate172.txt
ov098	0x02139e78	func_ov098_02139e78	_ZN5Crate13OnTurnIntoEggER6Player	func	the one main-only spelling at the address	-	-	func_ov098_02139e78	_ZN5Crate13OnTurnIntoEggER6Player	2	port/hal/actor_classes_hmc.cpp;port/slice_gate172.txt
ov098	0x02139f04	Crate_Spawn	daObjBlockS_c_classInit	plain	one main-only spelling of the same kind	-	-	Crate_Spawn	daObjBlockS_c_classInit	4	port/hal/actor_classes.inc;port/hal/actor_classes_hmc.cpp;port/slice_gate172.txt;port/slice_gate19.txt
ov098	0x0213a17c	func_ov098_0213a17c	_ZN16daObjFallBlock_c4KillEv	func	the one main-only spelling at the address	-	-	func_ov098_0213a17c	_ZN16daObjFallBlock_c4KillEv	10	port/CMakeLists.txt;port/hal/actor_classes_ov022_w16.cpp;port/hal/actor_classes_ov045.cpp;port/hal/actor_classes_ov063.cpp;port/hal/actor_classes_wf.cpp;port/ov022_syms.txt;port/ov063_syms.txt;port/slice_gate59.txt;port/slice_w16a.txt;port/slice_w1l4.txt
ov098	0x0213a284	func_ov098_0213a284	_ZN16daObjFallBlock_c15OnHitByMegaCharER6Player	func	the one main-only spelling at the address	-	-	func_ov098_0213a284	_ZN16daObjFallBlock_c15OnHitByMegaCharER6Player	7	port/hal/actor_classes_ov022_w16.cpp;port/hal/actor_classes_ov045.cpp;port/hal/actor_classes_ov063.cpp;port/hal/actor_classes_wf.cpp;port/slice_gate59.txt;port/slice_w1l4.txt;port/tools/abicheck.py
ov098	0x0213a314	func_ov098_0213a314	_ZN16daObjFallBlock_c6RenderEv	func	the one main-only spelling at the address	-	-	func_ov098_0213a314	_ZN16daObjFallBlock_c6RenderEv	6	port/hal/actor_classes_ov022_w16.cpp;port/hal/actor_classes_ov045.cpp;port/hal/actor_classes_ov063.cpp;port/hal/actor_classes_wf.cpp;port/slice_gate59.txt;port/slice_w1l4.txt
ov098	0x0213a36c	func_ov098_0213a36c	_ZN16daObjFallBlock_c8BehaviorEv	func	the one main-only spelling at the address	-	-	func_ov098_0213a36c	_ZN16daObjFallBlock_c8BehaviorEv	10	port/hal/actor_classes.inc;port/hal/actor_classes_bob_world.cpp;port/hal/actor_classes_ov022_w16.cpp;port/hal/actor_classes_ov045.cpp;port/hal/actor_classes_ov063.cpp;port/hal/actor_classes_wf.cpp;port/slice_gate59.txt;port/slice_w1l4.txt;port/tools/abicheck.py;port/unmatched/WaterBomb_State0.cpp
