path	tier	module	rtti_class	class_names	evidence	funcs_in_file	cpp_marker	has_header	extern_ZTV	blockers
src/_ZN12MeshColliderD0Ev.c	DTOR-ONLY	arm9	dBgW_Kc	MeshCollider/dBgW_Kc	_ZN12MeshColliderD0Ev	1		True		-
src/_ZN12MeshColliderD2Ev.c	DTOR-ONLY	arm9		MeshCollider	_ZN12MeshColliderD2Ev	1		True		-
src/_ZN12MetalNetLiftD0Ev.c	DTOR-ONLY	ov064	daObjFl_Amilift_c	MetalNetLift/daObjFl_Amilift_c	_ZN12MetalNetLiftD0Ev	1		True	_ZTV10dBgActor_c/_ZTV12MetalNetLift	-
src/_ZN16daObjC0_Switch_cD0Ev.c	DTOR-ONLY	ov012	daObjC0_Switch_c	daObjC0_Switch_c/daObjC0_Switch_c	_ZN16daObjC0_Switch_cD0Ev	1		True	_ZTV10dBgActor_c/_ZTV16daObjC0_Switch_c	-
src/_ZN15daObjWc_Obj03_c16CleanupResourcesEv.c	P1-vtable+mangled	ov029	daObjWc_Obj03_c	daObjWc_Obj03_c/daObjWc_Obj03_c	vtable daObjWc_Obj03_c slot 3 @0x2111908 | _ZN15daObjWc_Obj03_c16CleanupResourcesEv	1		True		-
src/_ZN15daObjWc_Obj03_cD0Ev.c	DTOR-ONLY	ov029	daObjWc_Obj03_c	daObjWc_Obj03_c/daObjWc_Obj03_c	_ZN15daObjWc_Obj03_cD0Ev	1		True		-
src/_ZN12WithMeshClsn4InitEP8dActor_c5Fix12IiES3_P10Vector3_16S5_.c	P3-mangled-method-only	arm9		WithMeshClsn	_ZN12WithMeshClsn4InitEP8dActor_c5Fix12IiES3_P10Vector3_16S5_	1		True		by-value-class-param
src/_ZN12WithMeshClsnC1Ev.c	P3-mangled-method-only	arm9		WithMeshClsn	_ZN12WithMeshClsnC1Ev	1		True		-
src/_ZN12WithMeshClsnD1Ev.c	DTOR-ONLY	arm9	dBgCh_Actr	WithMeshClsn/dBgCh_Actr	_ZN12WithMeshClsnD1Ev	1		True		-
src/_ZN12WorkElevator8BehaviorEv.c	P3-mangled-method-only			WorkElevator	_ZN12WorkElevator8BehaviorEv	0		True		NONMATCHING-draft;not-in-delinks
src/_ZN12WorkElevatorD0Ev.c	DTOR-ONLY	ov021	daObjCvNewsLift_c	WorkElevator/daObjCvNewsLift_c	_ZN12WorkElevatorD0Ev	1		True	_ZTV10dBgActor_c/_ZTV12WorkElevator	-
src/_ZN12dEnemyBase_c20KillByInvincibleCharERK10Vector3_16R6Player.c	P3-mangled-method-only	ov004		dEnemyBase_c	_ZN12dEnemyBase_c20KillByInvincibleCharERK10Vector3_16R6Player	1		True		-
src/_ZN12dEnemyBase_cD2Ev.cpp	DTOR-ONLY	ov002		dEnemyBase_c	_ZN12dEnemyBase_cD2Ev	1		True		-
src/_ZN12dScStarSel_c13InitResourcesEv.c	P3-mangled-method-only			dScStarSel_c	_ZN12dScStarSel_c13InitResourcesEv	0		True		NONMATCHING-draft;not-in-delinks
src/_ZN12dScStarSel_c16OnPendingDestroyEv.c	P1-vtable+mangled	ov003	dScStarSel_c	dScStarSel_c	vtable dScStarSel_c slot 12 @0x20ae6f0 | _ZN12dScStarSel_c16OnPendingDestroyEv	1		True		-
src/_ZN12dScStarSel_cD0Ev.c	DTOR-ONLY	ov003	dScStarSel_c	dScStarSel_c	_ZN12dScStarSel_cD0Ev	1		True	_ZTV12dScStarSel_c	-
src/_ZN12daBakubaku_cD0Ev.c	DTOR-ONLY	ov032	daBakubaku_c	daBakubaku_c	_ZN12daBakubaku_cD0Ev	1		True	_ZTV12daBakubaku_c	-
src/_ZN12daObjAbuku_cD0Ev.c	DTOR-ONLY	ov002	daObjAbuku_c	daObjAbuku_c	_ZN12daObjAbuku_cD0Ev	1		True	_ZTV12daObjAbuku_c	-
src/_ZN12daObjAbuku_cD1Ev.c	DTOR-ONLY	ov002	daObjAbuku_c	daObjAbuku_c	_ZN12daObjAbuku_cD1Ev	1		True	_ZTV12daObjAbuku_c	-
src/_ZN13BigBrickBlock13InitResourcesEv.c	P1-vtable+mangled	ov002	daObjBlockL_c	BigBrickBlock/daObjBlockL_c	vtable daObjBlockL_c slot 0 @0x20b3d78 | _ZN13BigBrickBlock13InitResourcesEv	1		True		-
src/_ZN13BowserShutterD0Ev.c	DTOR-ONLY	ov026	daObjWlKoopaShutter_c	BowserShutter/daObjWlKoopaShutter_c	_ZN13BowserShutterD0Ev	1		True	_ZTV10dBgActor_c/_ZTV13BowserShutter	-
src/_ZN13ExpandingHeapC1EPvjP4HeapP22ExpandingHeapAllocator.c	P3-mangled-method-only	arm9		ExpandingHeap	_ZN13ExpandingHeapC1EPvjP4HeapP22ExpandingHeapAllocator	1		True	_ZTV13ExpandingHeap	-
src/_ZN13ExpandingHeapD1Ev.cpp	DTOR-ONLY	arm9	mHeap::ExpHeap_t	ExpandingHeap/mHeap	_ZN13ExpandingHeapD1Ev	1		True	_ZTV13ExpandingHeap	-
src/_ZN10daPgMthr_c16OnPendingDestroyEv.c	P1-vtable+mangled	ov018	daPgMthr_c	daPgMthr_c/daPgMthr_c	vtable daPgMthr_c slot 12 @0x2112450 | _ZN10daPgMthr_c16OnPendingDestroyEv	1		True		-
src/_ZN10daPgMthr_cD0Ev.c	DTOR-ONLY	ov018	daPgMthr_c	daPgMthr_c/daPgMthr_c	_ZN10daPgMthr_cD0Ev	1		True		-
src/_ZN13OneUpMushroomD0Ev.c	DTOR-ONLY	ov002	da1up_c	OneUpMushroom/da1up_c	_ZN13OneUpMushroomD0Ev	1		True		-
src/_ZN13PeachPainting16CleanupResourcesEv.c	P1-vtable+mangled	ov010	daObjC1Peach_c	PeachPainting/daObjC1Peach_c	vtable daObjC1Peach_c slot 3 @0x2111ec4 | _ZN13PeachPainting16CleanupResourcesEv	1		True		-
src/_ZN13PeachPaintingD0Ev.c	DTOR-ONLY	ov010	daObjC1Peach_c	PeachPainting/daObjC1Peach_c	_ZN13PeachPaintingD0Ev	1		True		-
